duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.570, prec=0.536, rec=0.920, f1=0.678
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.674, prec=0.676, rec=0.646, f1=0.661
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.526, prec=0.509, rec=1.000, f1=0.675
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.674, prec=0.732, rec=0.531, f1=0.615
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.709, prec=0.662, rec=0.832, f1=0.737
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.557, prec=0.543, rec=0.619, f1=0.579
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.652, prec=0.600, rec=0.876, f1=0.712
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.496, prec=0.493, rec=0.991, f1=0.659
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.696, prec=0.678, rec=0.726, f1=0.701
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.513, prec=0.502, rec=1.000, f1=0.669
duration=2.0, step=2.0,  MELS=256, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.803, prec=0.831, rec=0.746, f1=0.786
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.443, prec=0.463, rec=0.909, f1=0.613
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.564, prec=0.529, rec=0.934, f1=0.675
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.739, prec=0.763, rec=0.670, f1=0.714
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.658, prec=0.604, rec=0.853, f1=0.707
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.631, prec=0.581, rec=0.858, f1=0.693
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.746, prec=0.703, rec=0.827, f1=0.760
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.488, prec=0.486, rec=1.000, f1=0.654
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.485, prec=0.485, rec=1.000, f1=0.653
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.692, prec=0.740, rec=0.563, f1=0.640
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.776, prec=0.757, rec=0.792, f1=0.774
duration=3.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.485, prec=0.485, rec=1.000, f1=0.653
